,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],gamma_fit,epsilon,gNID,Language,Area,LangCategory,systematicity
19033,0,1,2,3,2,4,1,2,5,0.520308871305478,1.581845151299921,2.9217547752134396,0.17350394344601633,0.5179460915147012,simulated,simulated,simulated,3
12279,0,1,2,3,2,2,4,3,2,0.52030662656365,1.489741982227825,2.9217547752134396,0.14198295090131763,0.4718687735078547,simulated,simulated,simulated,4
19613,0,1,2,3,4,1,2,5,3,0.5203056215861017,1.6336041960026917,2.9217547752134396,0.19122224753678135,0.5114005134695186,simulated,simulated,simulated,2
11143,0,1,2,0,3,2,0,4,2,0.520296097348754,1.3312862384536133,2.9217547752134396,0.08776040582864392,0.3827175353315305,simulated,simulated,simulated,3
20999,0,0,1,2,3,0,4,5,6,0.520126520963827,1.4364106347151124,2.9217547752134396,0.12390986565667049,0.4912011129496673,simulated,simulated,simulated,3
20675,0,1,0,2,3,2,4,5,6,0.5200676623379565,1.6109004961584479,2.9217547752134396,0.1836896368394782,0.5333602552602165,simulated,simulated,simulated,3
20961,0,1,0,2,3,4,5,6,0,0.520050038587059,1.601630923159027,2.9217547752134396,0.18053465586733092,0.5380322446091845,simulated,simulated,simulated,4
19528,0,1,2,3,4,3,0,0,5,0.5200499169615846,1.5384995293470163,2.9217547752134396,0.15892742209543145,0.5410418831052217,simulated,simulated,simulated,5
19155,0,1,2,3,0,1,4,2,5,0.5200389142236534,1.523837635349647,2.9217547752134396,0.1539202439368163,0.4976356217671798,simulated,simulated,simulated,2
15765,0,1,1,0,2,2,3,1,4,0.5200255968325913,1.2951242172810908,2.9217547752134396,0.07565409037130298,0.407064475226688,simulated,simulated,simulated,5
16817,0,1,2,3,4,2,0,4,1,0.5200114021112774,1.5065285287978323,2.9217547752134396,0.14802353999291837,0.4988791846468379,simulated,simulated,simulated,4
19932,0,1,1,2,3,4,1,1,5,0.5199512104606467,1.474084771255149,2.9217547752134396,0.1369795288480515,0.5254592778560645,simulated,simulated,simulated,5
5145,0,1,2,0,1,1,3,3,2,0.5198848196872801,1.2395232505979166,2.9217547752134396,0.05676487665124033,0.31015968495969726,simulated,simulated,simulated,5
11222,0,1,2,3,2,2,0,1,4,0.519874592957253,1.4125284075302544,2.9217547752134396,0.11598786086523503,0.4882636355759793,simulated,simulated,simulated,4
20523,0,1,2,2,0,3,4,5,5,0.5198695654650887,1.5510416496544255,2.9217547752134396,0.16340044059252917,0.5019111942298828,simulated,simulated,simulated,3
14215,0,1,2,0,3,4,3,3,3,0.5198636626731614,1.4174685211567166,2.9217547752134396,0.11768959479526278,0.41013872014268193,simulated,simulated,simulated,5
11063,0,1,2,3,3,4,1,4,4,0.5198486017130757,1.5396941353356726,2.9217547752134396,0.15953760327573963,0.5199342356867684,simulated,simulated,simulated,5
12323,0,1,2,3,3,4,1,2,2,0.5198259966148606,1.5115631365091076,2.9217547752134396,0.14993209068755164,0.5277711219434285,simulated,simulated,simulated,5
18872,0,1,2,2,3,4,4,4,5,0.519791486216751,1.6286158429683015,2.9127924464006294,0.1906136709057717,0.5193177434741525,simulated,simulated,simulated,3
20984,0,1,0,2,3,4,4,5,6,0.5197475207027777,1.6401501804507248,2.9127924464006294,0.19461752635171606,0.5302773261751388,simulated,simulated,simulated,3
20525,0,1,2,3,4,5,4,2,0,0.5197449124350892,1.6578469873019313,2.9127924464006294,0.20069568142778582,0.5293064181486098,simulated,simulated,simulated,2
19830,0,1,2,3,0,4,5,4,3,0.5197387382167584,1.6012024354536942,2.9127924464006294,0.18125503514978042,0.5056660058733837,simulated,simulated,simulated,2
12363,0,1,2,3,1,4,2,4,2,0.519705776558868,1.5220546449122012,2.9127924464006294,0.15411551816460906,0.4663653547792357,simulated,simulated,simulated,5
14788,0,1,1,2,0,3,4,4,4,0.5196443428966815,1.4175082411874107,2.9127924464006294,0.1182847948507708,0.4919399303611225,simulated,simulated,simulated,4
18495,0,1,2,3,4,1,5,0,0,0.5196348267325057,1.5659509299693195,2.9127924464006294,0.16925664063968215,0.5200605103222251,simulated,simulated,simulated,3
15871,0,0,1,2,2,3,4,4,1,0.5195970311621059,1.3503115660269696,2.9127924464006294,0.09526260321462843,0.4978664888569653,simulated,simulated,simulated,3
19287,0,1,2,3,2,4,5,2,0,0.5195192210774795,1.6025776427395904,2.9127924464006294,0.18194667905785655,0.5177286009957491,simulated,simulated,simulated,3
11750,0,1,2,2,2,2,3,4,4,0.5195160627261652,1.4118787870724556,2.9127924464006294,0.11648040929980337,0.45416906896000875,simulated,simulated,simulated,5
19513,0,1,2,3,4,0,0,5,5,0.5194898294509942,1.5611587279268522,2.9127924464006294,0.16775641186041165,0.5398683701277313,simulated,simulated,simulated,4
18711,0,1,2,3,2,4,1,3,5,0.5194164817996145,1.602558992267197,2.9127924464006294,0.18204301538297551,0.5151766741833352,simulated,simulated,simulated,2
19697,0,1,2,3,0,4,5,0,2,0.5193623400851459,1.5300025909062946,2.9127924464006294,0.15718758914983388,0.5228015060904534,simulated,simulated,simulated,4
19427,0,1,2,3,4,3,3,1,5,0.5193465324325133,1.6005662029649668,2.9127924464006294,0.18142881394328214,0.5389806032025422,simulated,simulated,simulated,5
18653,0,1,2,3,2,4,2,1,5,0.5193449186359325,1.5814887802064728,2.9127924464006294,0.17488089731174472,0.5206202482765284,simulated,simulated,simulated,3
19390,0,1,2,3,4,0,2,5,5,0.5193430076295051,1.6278562028370323,2.9127924464006294,0.1908013550336636,0.5254624677826626,simulated,simulated,simulated,3
16957,0,1,2,3,4,4,0,0,2,0.5193228670237775,1.473958372674607,2.9127924464006294,0.13798634415010524,0.5443043560483796,simulated,simulated,simulated,5
19532,0,1,2,3,4,5,3,2,0,0.519320554155204,1.6447058769452276,2.9127924464006294,0.19660852349135358,0.5312256575487266,simulated,simulated,simulated,3
15654,0,1,2,3,2,2,4,3,1,0.519226826749565,1.5001410930064167,2.9127924464006294,0.14707125706581478,0.47192367153496306,simulated,simulated,simulated,4
16597,0,1,2,0,1,3,4,3,1,0.51921341215278,1.368357972154807,2.9127924464006294,0.1018417910672261,0.3448729260698672,simulated,simulated,simulated,3
15945,0,1,2,3,3,4,0,1,4,0.5191788776746233,1.4860728671040997,2.9127924464006294,0.14228939895016812,0.5459699255450317,simulated,simulated,simulated,4
13471,0,1,2,0,3,1,4,2,4,0.5191444505856881,1.4218448269334385,2.9127924464006294,0.12027349414881418,0.41272310632076203,simulated,simulated,simulated,4
19720,0,1,2,3,2,3,1,4,5,0.5191267799170645,1.583022465398586,2.9127924464006294,0.17562557035131532,0.5186086222034317,simulated,simulated,simulated,3
19324,0,1,2,3,4,1,1,5,4,0.5190939202833795,1.5991812035699249,2.9127924464006294,0.18120593756361486,0.5191757144326921,simulated,simulated,simulated,2
20454,0,1,2,2,3,4,5,4,2,0.5190131804756621,1.6364645692038329,2.9127924464006294,0.19408654770880834,0.5306021829441928,simulated,simulated,simulated,3
17684,0,1,2,0,3,1,4,3,3,0.5189642205886471,1.4071947242885667,2.9127924464006294,0.11542415100789434,0.40438556106981305,simulated,simulated,simulated,5
19250,0,1,1,2,3,0,4,5,4,0.518910303121223,1.540299770273938,2.9127924464006294,0.1611747833750878,0.5222594929298618,simulated,simulated,simulated,4
19148,0,1,2,3,4,3,3,5,4,0.5189033070620044,1.642471595652469,2.9127924464006294,0.1962587123976509,0.5291105557747825,simulated,simulated,simulated,4
16946,0,1,2,3,4,1,4,4,2,0.5188489416758044,1.5415614880937443,2.9127924464006294,0.16166930916126315,0.5179269764482599,simulated,simulated,simulated,5
19441,0,1,2,3,1,0,4,1,5,0.5187758245424583,1.4951966083729282,2.9127924464006294,0.14582475259351543,0.47020346706350735,simulated,simulated,simulated,3
19899,0,0,1,2,3,3,2,4,5,0.5187228861191884,1.4231652664121235,2.9127924464006294,0.12114838287476005,0.499576999660598,simulated,simulated,simulated,5
18931,0,1,2,3,4,0,5,1,1,0.5187223980067106,1.573401149360158,2.9127924464006294,0.17272682778044596,0.5380389694331711,simulated,simulated,simulated,4
19232,0,1,1,2,3,2,4,0,5,0.5186522473947153,1.522124125091412,2.9127924464006294,0.15519290078914016,0.5296539581910891,simulated,simulated,simulated,4
13722,0,1,2,3,4,4,4,2,2,0.5186517135318887,1.5553880754256895,2.9127924464006294,0.16661338679286922,0.5264592118352166,simulated,simulated,simulated,4
18948,0,1,2,3,2,4,5,3,0,0.518626831571616,1.6232914837068664,2.9127924464006294,0.18995040290986354,0.5131580490726244,simulated,simulated,simulated,2
12671,0,1,1,2,2,1,3,4,1,0.5186123416962047,1.358305874254182,2.9127924464006294,0.0989918439571202,0.46736977114817835,simulated,simulated,simulated,5
17118,0,1,1,0,1,1,2,3,4,0.5186017378686276,1.1507390400624102,2.9127924464006294,0.027742020544759768,0.229524119300215,simulated,simulated,simulated,3
16542,0,1,2,3,4,4,3,4,2,0.5185782528597991,1.5667727183988345,2.9127924464006294,0.1705953453008459,0.5313533954830743,simulated,simulated,simulated,4
19088,0,1,2,2,3,4,5,3,2,0.5185655109352654,1.626424259891054,2.9127924464006294,0.1910872468599535,0.5323376825929228,simulated,simulated,simulated,4
20429,0,1,2,1,3,4,2,2,5,0.5185476967973559,1.5494812564674323,2.9038576090591866,0.16519622374514217,0.49719134432772105,simulated,simulated,simulated,3
16763,0,1,2,3,1,4,4,4,3,0.5185318252683122,1.5321600301612475,2.9038576090591866,0.15924719318940472,0.4541268697873929,simulated,simulated,simulated,4
15787,0,1,2,0,1,3,0,4,2,0.5184523381824442,1.2912283821049122,2.9038576090591866,0.0763571685110943,0.3579053980767769,simulated,simulated,simulated,4
18408,0,1,2,3,4,0,1,5,5,0.5184504099153724,1.600486842848104,2.9038576090591866,0.1828582790309032,0.5322166718091369,simulated,simulated,simulated,3
18622,0,1,2,1,3,4,5,0,4,0.5183995129066441,1.5654232732773852,2.9038576090591866,0.17083435203265165,0.5073564267066867,simulated,simulated,simulated,3
19422,0,1,2,3,3,0,4,2,5,0.5183940126555782,1.5649358391260308,2.9038576090591866,0.1706719948275415,0.526384941871066,simulated,simulated,simulated,3
19059,0,0,1,2,3,4,5,5,0,0.5183808618855235,1.432858335268975,2.9038576090591866,0.1252016813102935,0.5074396308641159,simulated,simulated,simulated,3
19773,0,1,2,2,1,3,0,4,5,0.5183730601288539,1.482040928158434,2.9038576090591866,0.14214646810921291,0.47273691732243805,simulated,simulated,simulated,4
17270,0,1,1,0,2,3,4,2,3,0.518344481107093,1.380262581558467,2.9038576090591866,0.10712568855276797,0.4130750222156191,simulated,simulated,simulated,4
19514,0,1,2,3,2,3,4,5,0,0.518337129689066,1.6037549568382554,2.9038576090591866,0.1840969980459284,0.5184654172492497,simulated,simulated,simulated,3
18890,0,1,1,2,3,4,4,0,5,0.5183321057595365,1.5513738093836889,2.9038576090591866,0.16606355228908182,0.5262482137172356,simulated,simulated,simulated,3
12006,0,1,2,3,0,1,4,4,4,0.5182697146071564,1.4655861495889257,2.9038576090591866,0.1365832897221023,0.4910437993220186,simulated,simulated,simulated,3
20461,0,1,2,3,2,4,3,0,5,0.5182646559542825,1.584381776024999,2.9038576090591866,0.17749793914329262,0.5208278736228256,simulated,simulated,simulated,3
19918,0,1,2,3,0,4,5,0,5,0.5182472030136389,1.5462692890058376,2.9038576090591866,0.1643906138922434,0.5195338656901611,simulated,simulated,simulated,4
18411,0,1,0,2,3,3,4,5,4,0.5182254753286422,1.5626260375855816,2.9038576090591866,0.17004510694724853,0.5331331025261807,simulated,simulated,simulated,3
18997,0,1,2,3,2,4,0,5,0,0.5182144184254591,1.548105431913225,2.9038576090591866,0.1650557100998563,0.5305231772347266,simulated,simulated,simulated,4
11244,0,1,2,3,4,4,2,2,1,0.5181105997697752,1.5482005155542073,2.9038576090591866,0.16519227266167583,0.5288726129459822,simulated,simulated,simulated,4
